codstaz,reg,prov_,stazione,linea_fisi,saliti7_9,discesi7_9,corse7_9,saliti24h,corse24h,saliti_s,saliti_r,saliti_re,corse_s,corse_r,corse_re,anno,calendario,point_x,point_y
"328",EM,PC,S.NICOLO',ALESS.-PIACENZA,0.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,27.0000000000000000000000000000000,14.0000000000000017763568394002505,0.0000000000000000000000000000000,27.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,14.0000000000000017763568394002505,0.0000000000000000000000000000000,2018.0000000000000000000000000000000,Invernale,9.6065515749999992323182596010156,45.0587518099999968512747727800161
"215",LO,BS,COLOGNE,LECCO-BRESCIA,63.0000000000000000000000000000000,22.0000000000000000000000000000000,3.0000000000000000000000000000000,206.0000000000000000000000000000000,31.0000000000000000000000000000000,0.0000000000000000000000000000000,206.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,31.0000000000000000000000000000000,0.0000000000000000000000000000000,2016.0000000000000000000000000000000,Invernale,9.9353438680000003557779564289376,45.5767095080000004259090928826481
"291",LO,PV,LAMBRINIA,PAVIA-CASALPUST.,32.0000000000000000000000000000000,3.0000000000000000000000000000000,4.9999999999999991118215802998748,77.0000000000000000000000000000000,30.0000000000000000000000000000000,0.0000000000000000000000000000000,77.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,30.0000000000000000000000000000000,0.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.5274614419999998915500327711925,45.1644570019999989085590641479939
"120",LO,CO,ALBATE-CAMERLATA,CHIASSO-MILANO,274.0000000000000000000000000000000,103.0000000000000000000000000000000,16.0000000000000000000000000000000,654.0000000000000000000000000000000,117.0000000000000000000000000000000,607.0000000000000000000000000000000,47.0000000000000000000000000000000,0.0000000000000000000000000000000,94.0000000000000000000000000000000,23.0000000000000000000000000000000,0.0000000000000000000000000000000,2017.0000000000000000000000000000000,Invernale,9.0734988699999998829071046202444,45.7774433849999979884159984067082
"196",LO,LC,OSNAGO,TIRANO-MILANO Mz-Lc,406.0000000000000000000000000000000,51.0000000000000000000000000000000,7.0000000000000008881784197001252,785.0000000000000000000000000000000,62.0000000000000000000000000000000,785.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,62.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,9.3870218350000005358424459700473,45.6786092870000004495523171499372
"266",LO,LO,S.STEFANO LODIGIANO,MILANO-BOLOGNA,41.0000000000000000000000000000000,4.9999999999999991118215802998748,4.0000000000000000000000000000000,86.0000000000000000000000000000000,36.0000000000000000000000000000000,0.0000000000000000000000000000000,86.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,36.0000000000000000000000000000000,0.0000000000000000000000000000000,2017.0000000000000000000000000000000,Invernale,9.7236407790000001227781467605382,45.1221729589999966947289067320526
"335",LO,MN,MANTOVA,CODOGNO-MANTOVA,110.0000000000000000000000000000000,236.0000000000000000000000000000000,4.0000000000000000000000000000000,966.0000000000000000000000000000000,28.0000000000000035527136788005009,0.0000000000000000000000000000000,99.0000000000000000000000000000000,867.0000000000000000000000000000000,0.0000000000000000000000000000000,7.0000000000000008881784197001252,21.0000000000000000000000000000000,2019.0000000000000000000000000000000,Invernale,10.7831898820000002814367690007202,45.1588271970000008082024578470737
"327",EM,PC,ROTTOFRENO,ALESS.-PIACENZA,0.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,11.0000000000000000000000000000000,14.0000000000000017763568394002505,0.0000000000000000000000000000000,11.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,14.0000000000000017763568394002505,0.0000000000000000000000000000000,2016.0000000000000000000000000000000,Invernale,9.5493001559999992622351783211343,45.0605073199999992539233062416315
"2797",LO,CO,Pontelambro-Castelmarte,Seveso - Asso,99.0000000000000000000000000000000,19.9999999999999964472863211994991,6.0000000000000000000000000000000,238.0000000000000000000000000000000,39.9999999999999928945726423989981,0.0000000000000000000000000000000,238.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,39.9999999999999928945726423989981,0.0000000000000000000000000000000,2018.0000000000000000000000000000000,Invernale,9.2257594590000007173102858359925,45.8291812719999995806574588641524
"2",PI,AL,GARBAGNA,NOVARA-MORTARA,19.0000000000000000000000000000000,3.0000000000000000000000000000000,3.0000000000000000000000000000000,22.0000000000000000000000000000000,9.9999999999999982236431605997495,0.0000000000000000000000000000000,22.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,9.9999999999999982236431605997495,0.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,8.6663343249999993389565133838914,45.3856740900000019678373064380139
"32",PI,NO,TRECATE,TORINO-MILANO,580.0000000000000000000000000000000,178.0000000000000000000000000000000,8.0000000000000000000000000000000,1882.0000000000000000000000000000000,74.0000000000000000000000000000000,1882.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,74.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,2015.0000000000000000000000000000000,Invernale,8.7393721140000000247027855948545,45.4285256900000007362905307672918
