NOME_COM_2,ISTAT_2017,NOME_PRO,POP_2017,POP_2014,VARIAZ_17_,SHAPE_AREA,SHAPE_LEN
MONTICELLI BRUSATI,"17112",BRESCIA,4513.00000000,4532.00000000,-19.00000000,10816948.85569999926,16883.47827540000
SALO`,"17170",BRESCIA,10634.00000000,10669.00000000,-35.00000000,25996367.65379999578,37245.16091540001
GARGNANO,"17076",BRESCIA,2878.00000000,2937.00000000,-59.00000000,76472668.75579999387,43371.77936120000
SALE MARASINO,"17169",BRESCIA,3388.00000000,3393.00000000,-5.00000000,16399594.56970000081,23023.50866320000
SAREZZO,"17174",BRESCIA,13438.00000000,13589.00000000,-151.00000000,17597974.44590000063,26959.77310400000
SAVIORE DELL`ADAMELLO,"17175",BRESCIA,901.00000000,929.00000000,-28.00000000,83928303.91329999268,49113.18277330000
MANTOVA,"20030",MANTOVA,49308.00000000,48747.00000000,561.00000000,64012795.79550000280,52269.95968770000
MONTICHIARI,"17113",BRESCIA,25449.00000000,24953.00000000,496.00000000,81141996.89749999344,40091.62384000000
DOSOLO,"20022",MANTOVA,3418.00000000,3502.00000000,-84.00000000,25654047.06750000268,27199.84643640000
MALEGNO,"17100",BRESCIA,2020.00000000,2037.00000000,-17.00000000,6935802.94338999968,12605.36471630000
NAVE,"17117",BRESCIA,10922.00000000,11054.00000000,-132.00000000,27131949.92159999907,26137.54630730000
REZZATO,"17161",BRESCIA,13469.00000000,13510.00000000,-41.00000000,18283591.18059999868,22539.58288620000
RUDIANO,"17167",BRESCIA,5778.00000000,5822.00000000,-44.00000000,9779506.49261000007,14947.99863200000
PONTOGLIO,"17150",BRESCIA,6917.00000000,6981.00000000,-64.00000000,11107443.41520000063,18628.61049320000
PREVALLE,"17155",BRESCIA,6977.00000000,6987.00000000,-10.00000000,9947606.92844000086,17179.21753180000
OFFLAGA,"17122",BRESCIA,4113.00000000,4176.00000000,-63.00000000,22945716.12810000032,32006.01803140000
OME,"17123",BRESCIA,3182.00000000,3196.00000000,-14.00000000,9885260.98760000058,15834.81066510000
OSSIMO,"17128",BRESCIA,1446.00000000,1465.00000000,-19.00000000,14873782.32320000045,29111.53143730000
PUEGNAGO SUL GARDA,"17158",BRESCIA,3406.00000000,3420.00000000,-14.00000000,10969298.64130000025,17766.47644800000
PAISCO LOVENO,"17131",BRESCIA,185.00000000,184.00000000,1.00000000,35577488.45350000262,30315.64189130000
MALONNO,"17101",BRESCIA,3203.00000000,3305.00000000,-102.00000000,30695145.96670000255,28073.34214000000
PARATICO,"17134",BRESCIA,4721.00000000,4666.00000000,55.00000000,6183025.63618000038,12660.62244280000
SAN PAOLO,"17138",BRESCIA,4546.00000000,4526.00000000,20.00000000,18700093.91979999840,25558.18383500000
PONCARALE,"17147",BRESCIA,5251.00000000,5287.00000000,-36.00000000,12632907.30350000039,21061.82954800000
PADENGHE SUL GARDA,"17129",BRESCIA,4543.00000000,4441.00000000,102.00000000,22174046.85689999908,31785.35333560000
LOSINE,"17094",BRESCIA,608.00000000,587.00000000,21.00000000,6333893.75970999897,14365.67222900000
MARONE,"17106",BRESCIA,3209.00000000,3275.00000000,-66.00000000,23569360.65980000421,29170.74325930000
MONIGA DEL GARDA,"17109",BRESCIA,2544.00000000,2504.00000000,40.00000000,15858933.06719999947,23883.66378640000
GONZAGA,"20027",MANTOVA,9193.00000000,9135.00000000,58.00000000,50392612.18199999630,43155.78518270000
MILZANO,"17108",BRESCIA,1763.00000000,1787.00000000,-24.00000000,8512109.96930000000,16724.28797160000
LOZIO,"17095",BRESCIA,397.00000000,417.00000000,-20.00000000,23718422.98649999872,27420.39344900000
ROVATO,"17166",BRESCIA,19132.00000000,19218.00000000,-86.00000000,26128064.16800000146,27480.66217160000
